,City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
0,arlit,NE,18.74,7.39,104.22,18,53,9.19
1,suffolk,US,40.87,-72.8,74.79,64,1,12.75
2,vaini,TO,-21.2,-175.2,69.8,77,75,10.29
3,albany,US,42.6,-73.97,71.33,64,40,8.05
4,kapaa,US,22.08,-159.32,72.09,83,40,14.99
5,east london,ZA,-33.02,27.91,57.2,44,20,32.21
6,hermanus,ZA,-34.42,19.23,55.99,60,67,4.0
7,zhezkazgan,KZ,47.8,67.71,93.2,15,0,26.84
8,port elizabeth,ZA,-33.92,25.57,48.2,87,75,20.8
9,norman wells,CA,65.28,-126.83,53.6,93,75,0.36
10,mataura,NZ,-46.19,168.86,39.0,83,85,3.0
11,port lincoln,AU,-34.73,135.87,53.49,73,0,13.15
12,sa kaeo,TH,13.81,102.07,77.29,91,100,2.24
13,bluff,NZ,-46.6,168.33,39.0,83,69,3.0
14,rikitea,PF,-23.12,-134.97,71.89,83,100,16.87
15,juegang,CN,32.32,121.19,71.13,82,100,5.73
16,galle,LK,6.04,80.22,81.64,85,93,7.65
17,zyryanka,RU,65.75,150.85,57.85,81,100,13.24
18,sinnamary,GF,5.38,-52.95,82.49,73,92,5.82
19,hilo,US,19.73,-155.09,65.86,88,90,5.82
20,punta arenas,CL,-53.15,-70.92,35.29,88,40,16.11
21,dikson,RU,73.51,80.55,39.6,97,97,10.65
22,valkeala,FI,60.94,26.8,66.74,59,97,5.82
23,constitucion,CL,-35.33,-72.42,54.19,66,0,5.64
24,jamestown,US,42.1,-79.24,64.67,93,90,5.82
25,cherskiy,RU,68.75,161.3,41.97,72,0,11.48
26,ushuaia,AR,-54.8,-68.3,28.4,86,75,2.24
27,bo phloi,TH,14.32,99.52,81.64,74,85,3.53
28,ahipara,NZ,-35.17,173.17,57.11,84,100,10.09
29,srebrenica,BA,44.11,19.3,64.4,52,40,5.82
30,mandalgovi,MN,45.76,106.27,68.83,55,54,12.82
31,waingapu,ID,-9.66,120.26,74.91,77,1,11.16
32,georgetown,MY,5.41,100.34,84.22,79,20,8.05
33,mao,ES,39.89,4.27,82.4,45,84,13.87
34,lobva,RU,59.19,60.52,86.81,51,11,5.03
35,samarai,PG,-10.62,150.67,78.24,86,38,13.35
36,iqaluit,CA,63.75,-68.51,55.4,66,75,3.36
37,bredasdorp,ZA,-34.53,20.04,55.4,71,1,4.7
38,camacha,PT,33.08,-16.33,73.4,73,40,18.34
39,port shepstone,ZA,-30.74,30.45,67.8,31,44,27.4
40,clyde river,CA,70.47,-68.59,59.0,51,75,4.7
41,klaksvik,FO,62.23,-6.59,51.8,93,100,6.93
42,laguna,US,38.42,-121.42,57.9,82,1,8.05
43,anadyr,RU,64.75,177.48,50.0,87,75,2.24
44,najran,SA,17.49,44.13,104.0,12,72,9.17
45,wanning,CN,18.8,110.4,81.55,84,0,7.23
46,falam,MM,22.92,93.68,63.64,100,100,0.98
47,busselton,AU,-33.65,115.33,47.32,72,100,9.48
48,mar del plata,AR,-38.0,-57.56,41.0,71,40,12.75
49,kindersley,CA,51.47,-109.17,55.4,71,75,18.34
50,salalah,OM,17.02,54.09,84.2,83,75,11.41
51,ankpa,NG,7.37,7.63,81.23,75,97,9.19
52,anchorage,US,61.22,-149.9,50.05,76,75,4.7
53,barrow,US,71.29,-156.79,33.8,86,90,10.29
54,nanortalik,GL,60.14,-45.24,42.06,94,100,6.22
55,jambi,ID,-1.6,103.62,71.91,97,100,3.67
56,ribeira grande,PT,38.52,-28.7,73.4,69,20,11.41
57,lavrentiya,RU,65.58,-171.0,44.78,77,100,6.38
58,chokurdakh,RU,70.63,147.92,38.86,77,8,16.89
59,faanui,PF,-16.48,-151.75,77.9,86,45,22.03
